d-12,d0,d12,d24,d36,d48,d60,d72,Load,T_conc,T_base,E_subg,E_base,E_conc
2.1613,3.6756,2.1613,1.40798,0.966683,0.715509,0.579278,0.505112,12000,300,300,70,70,500
1.3739,2.6031,1.3739,1.00784,0.777455,0.618334,0.50897,0.425257,12000,300,300,70,350,500
1.0025,2.0707,1.0025,0.816633,0.679671,0.567068,0.474842,0.393187,12000,300,300,70,1400,500
0.6309,1.5923,0.6309,0.571941,0.517821,0.457122,0.391829,0.324492,12000,300,300,70,14000,500
3.2937,4.0718,3.2937,2.61111,2.01541,1.56298,1.27858,1.07002,12000,300,300,70,30,1000
2.8742,3.5953,2.8742,2.30585,1.81887,1.44946,1.2044,1.00704,12000,300,300,70,70,1000
1.9354,2.5218,1.9354,1.62945,1.38007,1.18105,1.01148,0.840872,12000,300,300,70,350,1000
1.3435,1.7916,1.3435,1.21704,1.09995,0.9777,0.845927,0.705,12000,300,300,70,1400,1000
0.862,1.2281,0.862,0.810939,0.747489,0.671075,0.584338,0.490764,12000,300,300,70,14000,1000
1.9711,2.2113,1.9711,1.7091,1.45652,1.2426,1.05283,0.862114,12000,300,300,70,30,3500
1.8411,2.0695,1.8411,1.60238,1.37633,1.18591,1.01306,0.835277,12000,300,300,70,70,3500
1.4673,1.6535,1.4673,1.31253,1.16921,1.03237,0.890145,0.738647,12000,300,300,70,350,3500
1.0854,1.2118,1.0854,1.00428,0.91547,0.816989,0.709466,0.59533,12000,300,300,70,1400,3500
0.6191,0.7333,0.6191,0.582708,0.538004,0.485126,0.426235,0.363448,12000,300,300,70,14000,3500
1.2221,1.2845,1.2221,1.13584,1.03057,0.912282,0.783766,0.647675,12000,300,300,70,30,12000
1.1817,1.2397,1.1817,1.10175,1.00328,0.891412,0.768592,0.637498,12000,300,300,70,70,12000
1.0725,1.1262,1.0725,1.0017,0.914561,0.815009,0.705339,0.588178,12000,300,300,70,350,12000
0.8564,0.9064,0.8564,0.800629,0.733005,0.655995,0.571364,0.481392,12000,300,300,70,1400,12000
0.4029,0.4475,0.4029,0.378814,0.350392,0.317718,0.281895,0.244295,12000,300,300,70,14000,12000
1.1518,1.2066,1.1518,1.07353,0.976089,0.865437,0.744691,0.616791,12000,300,300,70,30,14000
1.1181,1.169,1.1181,1.04499,0.953221,0.848046,0.732153,0.608479,12000,300,300,70,70,14000
